Date,Open,High,Low,Close,Adj Close,Volume
2017-10-17,7075.000000,7075.000000,6950.000000,7025.000000,5952.332031,56477500
2017-10-18,7100.000000,7100.000000,7025.000000,7075.000000,5994.697754,76227200
2017-10-19,7075.000000,7075.000000,6925.000000,6975.000000,5909.966797,39439200
2017-10-20,6975.000000,7125.000000,6950.000000,7100.000000,6015.880371,27778600
2017-10-23,7075.000000,7100.000000,6900.000000,6950.000000,5888.783691,32954300
2017-10-24,6900.000000,7000.000000,6825.000000,6825.000000,5782.871582,22491100
2017-10-25,6950.000000,7050.000000,6950.000000,7000.000000,5931.149902,83341700
2017-10-26,7050.000000,7100.000000,6975.000000,7025.000000,5952.332031,45577600
2017-10-27,7000.000000,7125.000000,6950.000000,6950.000000,5888.783691,31682200
2017-10-30,7100.000000,7125.000000,6975.000000,7075.000000,5994.697754,53521500
2017-10-31,7125.000000,7150.000000,7000.000000,7050.000000,5973.515625,39465200
2017-11-01,7100.000000,7100.000000,7025.000000,7100.000000,6015.880371,21655200
2017-11-02,7150.000000,7425.000000,7125.000000,7275.000000,6164.159180,34312900
2017-11-03,7350.000000,7375.000000,7125.000000,7250.000000,6142.976563,39365100
2017-11-06,7150.000000,7350.000000,7150.000000,7225.000000,6121.793945,29775900
2017-11-07,7225.000000,7275.000000,7075.000000,7125.000000,6037.063477,28240200
2017-11-08,7150.000000,7200.000000,7100.000000,7175.000000,6079.428223,40298800
2017-11-09,7175.000000,7200.000000,7075.000000,7075.000000,5994.697754,85485900
2017-11-10,7100.000000,7125.000000,7025.000000,7050.000000,5973.515625,42055600
2017-11-13,7100.000000,7100.000000,6950.000000,7050.000000,5973.515625,16854500
2017-11-14,7000.000000,7100.000000,6950.000000,6950.000000,5888.783691,29667000
2017-11-15,7050.000000,7050.000000,6925.000000,6975.000000,5909.966797,40730600
2017-11-16,6925.000000,7125.000000,6925.000000,7100.000000,6015.880371,39510700
2017-11-17,7175.000000,7400.000000,7125.000000,7325.000000,6206.524414,48289100
2017-11-20,7375.000000,7475.000000,7300.000000,7425.000000,6291.255371,26705000
2017-11-21,7450.000000,7450.000000,7325.000000,7400.000000,6270.073242,95858400
2017-11-22,7500.000000,7600.000000,7375.000000,7375.000000,6248.890137,36329800
2017-11-23,7525.000000,7525.000000,7375.000000,7450.000000,6312.437500,27869800
2017-11-24,7500.000000,7500.000000,7375.000000,7450.000000,6312.437500,18029200
2017-11-27,7450.000000,7475.000000,7375.000000,7425.000000,6291.255371,61405100
